[[177147,x^4+2*x^3+2*x^2+x],
[6238900827,x^4+3*x^3-2*x+1],
[6238900827,x^4+3*x^3-3*x^2-x+1],
[6238900827,x^4+6*x^3+2*x^2+x],
[6238900827,x^4+x^3-x^2+x-1],
[6238900827,x^4+x^3+x^2+x-1],
[6261083568,x^4+11*x^3-7*x^2+x],
[6261083568,x^4+3*x^3-4*x^2-6*x+6],
[6298560000,2*x^4+2*x^3-x^2+x],
[6298560000,2*x^4+6*x^3-x^2-7*x+3],
[6298560000,2*x^4+x^3-5*x^2-6*x-2],
[6439962672,x^4+9*x^3+15*x^2-12*x+2],
[6507691875,x^4+2*x^3+5*x^2-x],
[6507691875,x^4+2*x^3-x^2-x+2],
[6507691875,x^4+3*x^3-x^2-2*x+1],
[6507691875,x^4+x^2-x-1],
[6507691875,x^4+x^3-x^2-1],
[6553021824,2*x^4+2*x^3-2*x^2+x],
[6621361200,x^4+11*x^3-6*x^2-19*x-7],
[6621361200,x^4+9*x^3+18*x^2-9*x+1],
[6666395904,3*x^4+19*x^3+12*x^2+2*x],
[6666395904,3*x^4+5*x^3-2*x],
[6802444800,24*x^4+7*x^3-45*x^2-41*x-10],
[6802444800,6*x^4+10*x^3+3*x^2-x],
[6802444800,6*x^4+35*x^3-12*x^2+x],
[6805279152,x^4+5*x^3-x^2+x],
[6805279152,x^4+x^3+5*x^2-x],
[6898182912,x^4+11*x^3+7*x^2+x],
[6898182912,x^4+12*x^3-10*x^2+2*x],
[6898182912,x^4+2*x^2-2*x+1],
[6898182912,x^4+2*x^3+2*x^2+1],
[6898182912,x^4+2*x^3-2*x^2-2*x],
[6898182912,x^4+2*x^3-4*x^2+1],
[6898182912,x^4+2*x^3+4*x^2+2*x+2],
[6898182912,x^4+2*x^3-4*x^2-4*x+5],
[6898182912,x^4+3*x^3-4*x^2-4*x+4],
[6898182912,x^4-4*x^2-2*x],
[6898182912,x^4-4*x^2-2*x+1],
[6898182912,x^4+4*x^3+2*x^2-2*x+6],
[6898182912,x^4+5*x^3-x^2-x],
[6898182912,x^4+8*x^2-10*x+3],
[6898182912,x^4+8*x^3+8*x^2+2*x],
[6913299456,7*x^4+13*x^3+7*x^2+x],
[7010454744,2*x^4+x^3+3*x^2+x],
[7077062016,2*x^4+11*x^3-20*x^2+11*x-2],
[7077062016,2*x^4-3*x^2-x+2],
[7077062016,2*x^4+3*x^3+9*x^2+8*x+2],
[7077062016,2*x^4+3*x^3-x^2-4*x-2],
[7077062016,2*x^4+4*x^3+x^2+x],
